name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Co(Pent)2,NA,Co(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-08-31,cal,-182034,-286935,48.32,508.3,171.1,25.1672,53.6696,-15.3437,-4.9976,303.7853,100.506,-0.03,0
Cd(Pent)+,NA,CdCH3(CH2)3CO2+,aq,SK95,NA,1993-08-31,cal,-103384,-153764,24.288,226.9,77.9,12.4829,22.6985,-3.1719,-3.7173,140.8184,43.1804,0.1832,1
Cd(Pent)2,NA,Cd(CH3CH2CH2CH2CO2)2,aq,SK95,NA,1993-08-31,cal,-187389,-288726,65.449,527.2,182,26.6621,57.3222,-16.7845,-5.1486,314.8482,104.3513,-0.03,0
Eu(Pent)+,NA,EuCH3(CH2)3CO2+,aq,SK95,NA,1993-08-31,cal,-211714,-257888,44.739,248.3,92.8,14.4215,27.435,-5.0392,-3.9131,150.5,47.5345,-0.1257,1
La(Pent)+2,NA,LaCH3(CH2)3CO2+2,aq,SK95,NA,1993-09-01,cal,-250188,-307073,-11.938,196.3,52.3,9.3322,15.0037,-0.1439,-3.3992,132.6336,36.9625,1.2366,2
La(Pent)2+,NA,La(CH3CH2CH2CH2CO2)2+,aq,SK95,NA,1993-09-01,cal,-335325,-442418,31.735,469.8,153.5,22.7893,47.8627,-13.0596,-4.7575,282.1786,92.6705,0.0717,1
Eu(Pent)+2,NA,EuCH3(CH2)3CO2+2,aq,SK95,NA,1993-09-01,cal,-223706,-282516,-13.356,197.7,49.2,8.9288,14.0201,0.2395,-3.3585,133.65,37.2375,1.261,2
Eu(Pent)2+,NA,Eu(CH3CH2CH2CH2CO2)2+,aq,SK95,NA,1993-09-01,cal,-309035,-418206,29.802,472.5,150.1,22.3402,46.7679,-12.6335,-4.7123,283.9817,93.2071,0.0999,1
Gd(Pent)+2,NA,GdCH3(CH2)3CO2+2,aq,SK95,NA,1993-08-16,cal,-244829,-301364,-7.967,199.3,50.2,9.0391,14.2927,0.1259,-3.3698,133.8403,37.5583,1.1815,2
Gd(Pent)2+,NA,Gd(CH3CH2CH2CH2CO2)2+,aq,SK95,NA,1993-08-16,cal,-330007,-436320,37.15,475.5,151.2,22.4554,47.0464,-12.7369,-4.7238,284.7556,93.833,-0.0116,1
Yb(Pent)+2,NA,YbCH3(CH2)3CO2+2,aq,SK95,NA,1993-09-07,cal,-239283,-298479,-18.887,198.2,45.7,8.4697,12.9016,0.6745,-3.3123,134.7001,37.3291,1.3464,2
Yb(Pent)2+,NA,Yb(CH3CH2CH2CH2CO2)2+,aq,SK95,NA,1993-09-07,cal,-324503,-434659,22.26,473.4,146.1,21.8358,45.5373,-12.1516,-4.6614,285.566,93.3859,0.216,1
U(Pent)+2,NA,UCH3(CH2)3CO2+2,aq,SK95,NA,1993-08-31,cal,-200147,-254046,-3.57,197,52.4,9.3061,14.941,-0.1209,-3.3966,131.9035,37.1,1.1144,2
Na(Glyc),NA,Na(CH3OCO2),aq,SK95,NA,1993-08-16,cal,-183829,-212299,39.833,75.7,47.7,8.2625,12.3962,0.8714,-3.2914,50.2253,12.3751,-0.03,0
Na(Glyc)2-,NA,Na(CH3OCO2)2-,aq,SK95,NA,1993-08-16,cal,-304876,-369684,56.615,171.3,101.8,15.9533,31.1718,-6.5007,-4.0675,113.6563,31.8554,0.7716,-1
K(Glyc),NA,KCH3OCO2,aq,SK95,NA,1993-08-30,cal,-188721,-214171,53.168,59.7,58.9,9.8131,16.1774,-0.6044,-3.4477,40.8892,9.1302,-0.03,0
K(Glyc)2-,NA,K(CH3OCO2)2-,aq,SK95,NA,1993-08-30,cal,-309741,-370519,73.335,140.2,114.4,17.5955,35.181,-8.0761,-4.2333,93.1092,25.5242,0.5185,-1
Ca(Glyc)+,NA,CaCH3OCO2+,aq,SK95,NA,1993-08-16,cal,-255541,-285318,17.505,83.6,28.7,5.7854,6.3436,3.2594,-3.0411,57.8209,13.9991,0.2873,1
Ca(Glyc)2,NA,Ca(CH3OCO2)2,aq,SK95,NA,1993-08-16,cal,-378403,-441481,44.473,189.1,80.7,12.8031,23.482,-3.484,-3.7496,116.6861,35.4751,-0.03,0
Mg(Glyc)+,NA,MgCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-231489,-266450,-2,88.6,24.8,5.3533,5.2917,3.666,-2.9977,63.4339,15.0028,0.5831,1
Mg(Glyc)2,NA,Mg(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-353983,-424040,18.948,198.7,76.4,12.2102,22.0339,-2.9133,-3.6898,122.3206,37.4335,-0.03,0
Sr(Glyc)+,NA,SrCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-257717,-286078,25.645,78,29.4,5.8421,6.4821,3.2052,-3.0469,53.342,12.8441,0.1618,1
Sr(Glyc)2,NA,Sr(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-380197,-441109,55.125,178,81.5,12.9135,23.7481,-3.5809,-3.7606,110.2025,33.2217,-0.03,0
Ba(Glyc)+,NA,BaCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-256564,-282924,34,72.9,34.8,6.5329,8.1729,2.5314,-3.1168,49.2137,11.8129,0.0358,1
Ba(Glyc)2,NA,Ba(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-378689,-436833,66.059,168.1,87.5,13.7306,25.7444,-4.3677,-3.8432,104.4137,31.2096,-0.03,0
Mn(Glyc)+,NA,MnCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-177828,-208594,11.915,91.3,29.7,5.9609,6.7761,3.0811,-3.059,63.1381,15.5712,0.3735,1
Mn(Glyc)2,NA,Mn(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-300155,-364736,37.157,204.1,81.9,12.9661,23.8786,-3.6359,-3.766,125.5108,38.5424,-0.03,0
Fe(Glyc)+,NA,FeCH3OCO2+,aq,SK95,SLOP16.6,1998-06-02,cal,-146010,-179712,1.008,82.3,40.5,7.4836,10.4932,1.6217,-3.2127,59.3916,13.7379,0.5394,1
Fe(Glyc)2,NA,Fe(CH3OCO2)2,aq,SK95,SLOP16.6,1998-06-02,cal,-269459,-338010,22.883,186.6,110.3,16.8444,33.3487,-7.3593,-4.1575,115.2196,34.9654,-0.03,0
Ni(Glyc)+,NA,NiCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-135153,-171125,-6.082,74.2,16.5,4.2391,2.5699,4.738,-2.8851,55.6378,12.0879,0.6472,1
Ni(Glyc)2,NA,Ni(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-258711,-330154,13.605,170.8,67.2,10.9446,18.9412,-1.6924,-3.5619,105.9573,31.7462,-0.03,0
Cu(Glyc)+,NA,CuCH3OCO2+,aq,SK95,NA,1993-08-16,cal,-109438,-142561,4.28,87.7,21.4,4.8555,4.075,4.147,-2.9474,62.066,14.8378,0.4862,1
Cu(Glyc)2,NA,Cu(CH3OCO2)2,aq,SK95,NA,1993-08-16,cal,-233022,-300664,27.166,197.1,72.6,11.6921,20.7705,-2.4205,-3.6376,121.3943,37.1116,-0.03,0
Zn(Glyc)+,NA,ZnCH3OCO2+,aq,SK95,SLOP16.6,1998-06-02,cal,-159617,-194586,0.19,86.4,21.7,4.9216,4.2387,4.0776,-2.9541,61.8303,14.5628,0.5464,1
Zn(Glyc)2,NA,Zn(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-283311,-353139,21.813,194.5,73,11.743,20.893,-2.4643,-3.6426,119.8505,36.5751,-0.03,0
Pb(Glyc)+,NA,PbCH3OCO2+,aq,SK95,NA,1993-08-16,cal,-130018,-154267,41.638,72,47.8,8.2809,12.4416,0.8529,-3.2932,47.6306,11.6296,-0.0788,1
Pb(Glyc)2,NA,Pb(CH3OCO2)2,aq,SK95,NA,1993-08-16,cal,-253616,-308946,76.1054,166.4,118.5,17.9656,36.0834,-8.4279,-4.2706,103.3846,30.8519,-0.03,0
Co(Glyc)+,NA,CoCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-136871,-171331,-0.901,83,21.6,4.9137,4.2158,4.0944,-2.9532,60.0521,13.8754,0.5681,1
Co(Glyc)2,NA,Co(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-260101,-329556,20.386,187.9,72.9,11.726,20.8501,-2.4444,-3.6408,115.9914,35.2337,-0.03,0
Cd(Glyc)+,NA,CdCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-142281,-174381,12.188,92.7,31.4,6.188,7.3293,2.8656,-3.0819,63.8836,15.8461,0.3686,1
Cd(Glyc)2,NA,Cd(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-265388,-331279,37.514,206.7,83.8,13.221,24.5024,-3.8851,-3.7918,127.0546,39.0789,-0.03,0
Eu(Glyc)+,NA,EuCH3OCO2+,aq,SK95,NA,1993-08-30,cal,-252044,-279938,32.639,114.1,46.3,8.1255,12.0562,1.0166,-3.2773,73.5346,20.2002,0.0564,1
Eu(Glyc)2,NA,Eu(CH3OCO2)2,aq,SK95,NA,1993-08-30,cal,-374046,-433849,64.278,248.5,100.4,15.4973,30.0577,-6.0619,-4.0215,151.4961,47.5743,-0.03,0
Na(Lac),NA,NaCH3CH2OCO2,aq,SK95,NA,1993-08-16,cal,-185189,-221669,45.533,113.1,64,10.5067,17.8733,-1.276,-3.5178,72.1974,20.0121,-0.03,0
Na(Lac)2-,NA,Na(CH3CH2OCO2)2-,aq,SK95,NA,1993-08-16,cal,-307610,-388006,69.462,260.8,136.5,20.6323,42.5939,-10.9852,-4.5397,164.3333,50.0919,0.5771,-1
K(Lac),NA,KCH3CH2OCO2,aq,SK95,NA,1993-08-30,cal,-190081,-223541,58.868,97.2,75.3,12.0572,21.661,-2.7676,-3.6744,62.8615,16.7671,-0.03,0
K(Lac)2-,NA,K(CH3CH2OCO2)2-,aq,SK95,NA,1993-08-30,cal,-312475,-388842,86.182,229.7,149.1,22.2742,46.6039,-12.5625,-4.7055,143.7822,43.7607,0.3236,-1
Ca(Lac)+,NA,CaCH3CH2OCO2+,aq,SK95,NA,1993-08-16,cal,-256587,-294436,23,121.1,45.1,8.0009,11.7524,1.1355,-3.2647,79.0115,21.6361,0.2025,1
Ca(Lac)2,NA,Ca(CH3CH2OCO2)2,aq,SK95,NA,1993-08-16,cal,-380563,-459217,57.364,278.6,115.4,17.5477,35.0629,-8.0266,-4.2284,169.154,53.7117,-0.03,0
Mg(Lac)+,NA,MgCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-232904,-274593,8,126,41.2,7.5465,10.6466,1.5614,-3.219,84.0159,22.6398,0.4322,1
Mg(Lac)2,NA,Mg(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-356826,-440700,37.734,288.2,111.1,16.9548,33.6148,-7.4563,-4.1685,174.7884,55.6701,-0.03,0
Sr(Lac)+,NA,SrCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-258627,-295697,29,115.4,45.8,8.0696,11.9219,1.0649,-3.2718,74.8585,20.4811,0.1124,1
Sr(Lac)2,NA,Sr(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-382098,-459421,65.215,267.5,116.2,17.6581,35.3352,-8.139,-4.2397,162.6705,51.4582,-0.03,0
Ba(Lac)+,NA,BaCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-257433,-291416,41,110.4,51.2,8.7414,13.5626,0.4195,-3.3396,70.2142,19.4498,-0.0697,1
Ba(Lac)2,NA,Ba(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-380522,-453654,80.919,257.6,122.2,18.4752,37.3316,-8.9265,-4.3222,156.8818,49.4461,-0.03,0
Mn(Lac)+,NA,MnCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-178981,-217756,17.615,128.8,46.1,8.1746,12.1772,0.9667,-3.2823,84.2783,23.2081,0.2832,1
Mn(Lac)2,NA,Mn(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-302971,-383047,50.317,293.6,116.6,17.7108,35.4655,-8.1945,-4.245,177.9788,56.7789,-0.03,0
Fe(Lac)+,NA,FeCH3CH2OCO2+,aq,SK95,SLOP16.6,1998-06-02,cal,-147289,-189013,6.708,119.8,40.5,7.4532,10.4168,1.6567,-3.2095,80.5362,21.3748,0.4496,1
Fe(Lac)2,NA,Fe(CH3CH2OCO2)2,aq,SK95,SLOP16.6,1998-06-02,cal,-272042,-356112,36.043,276.1,110.3,16.8444,33.3487,-7.3593,-4.1575,167.6874,53.202,-0.03,0
Ni(Lac)+,NA,NiCH3CH2OCO2+,aq,SK95,SLOP16.6,1998-06-02,cal,-135599,-179621,-0.382,111.7,32.9,6.4541,7.98,2.6079,-3.1088,76.8142,19.7248,0.5608,1
Ni(Lac)2,NA,Ni(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-259957,-346896,26.765,260.3,101.8,15.6892,30.5284,-6.2512,-4.0409,158.4254,49.9827,-0.03,0
Cu(Lac)+,NA,CuCH3CH2OCO2+,aq,SK95,NA,1993-08-16,cal,-110347,-151481,9.98,125.2,37.8,7.0703,9.4856,2.0147,-3.171,83.2379,22.4748,0.3993,1
Cu(Lac)2,NA,Cu(CH3CH2OCO2)2,aq,SK95,NA,1993-08-16,cal,-235047,-318184,40.325,286.6,107.3,16.4367,32.3514,-6.9634,-4.1163,173.8623,55.3481,-0.03,0
Zn(Lac)+,NA,ZnCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-160731,-200064,18,123.9,38.1,7.0755,9.4969,2.0126,-3.1715,81.34,22.1998,0.2792,1
Zn(Lac)2,NA,Zn(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-285376,-364728,55,284,107.7,16.4877,32.4799,-7.0229,-4.1216,172.3186,54.8116,-0.03,0
Pb(Lac)+,NA,PbCH3CH2OCO2+,aq,SK95,NA,1993-08-16,cal,-131350,-163610,47.338,109.5,47.8,8.2516,12.3686,0.8843,-3.2902,68.8031,19.2665,-0.1656,1
Pb(Lac)2,NA,Pb(CH3CH2OCO2)2,aq,SK95,NA,1993-08-16,cal,-256295,-327120,89.213,255.9,118.5,17.9656,36.0834,-8.4279,-4.2706,155.8527,49.0884,-0.03,0
Co(Lac)+,NA,CoCH3CH2OCO2+,aq,SK95,NA,1993-08-30,cal,-137385,-179856,4.799,120.5,38,7.1281,9.6212,1.9722,-3.1766,81.2111,21.5123,0.4799,1
Co(Lac)2,NA,Co(CH3CH2OCO2)2,aq,SK95,NA,1993-08-30,cal,-261457,-346408,33.545,277.4,107.5,16.4707,32.437,-7.003,-4.1198,168.4594,53.4702,-0.03,0
