name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
UO2(Ac)+,NA,UO2CH3COO+,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-320080,-363540,-1.7,123,55.8,9.599,15.6588,-0.4099,-3.4262,83.5297,22.0118,0.5756,1
UO2(Ac)2,NA,UO2(CH3COO)2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-411370,-484290,13.7,265.6,111.7,17.0325,33.8044,-7.5309,-4.1764,161.5228,51.0592,-0.03,0
UO2(Ac)3-,NA,UO2(CH3COO)3-,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-501830,-607460,18.3,438,173.8,26.0101,55.7294,-16.1571,-5.0828,275.3211,86.1855,1.3526,-1
Li(Ac)2-,NA,Li(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-246810,-304670,25.5,192.5,103.5,16.3412,32.1211,-6.8785,-4.1068,130.4373,36.181,1.2422,-1
Na(Ac)2-,NA,Na(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-238470,-292400,44,170,103.2,16.2062,31.7884,-6.7416,-4.093,114.6437,31.5846,0.9633,-1
K(Ac)2-,NA,K(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-242990,-292900,60.7,138.9,115.8,17.8481,35.7984,-8.3193,-4.2588,94.0916,25.2533,0.7097,-1
Mg(Ac)2,NA,Mg(CH3COO)2,aq,SK93,SLOP16.1,1998-06-02,HKF,cal,-287830,-349327,-1.2,197.3,77.8,12.3982,22.4898,-3.0853,-3.7086,121.5413,37.1627,-0.03,0
Ca(Ac)2,NA,Ca(CH3COO)2,aq,SK93,SLOP16.1,1998-06-02,HKF,cal,-310570,-363720,32.3,187.7,82.1,12.9911,23.9379,-3.6556,-3.7685,115.9068,35.2043,-0.03,0
Sr(Ac)2,NA,Sr(CH3COO)2,aq,SK93,NA,1992-09-10,HKF,cal,-313610,-363740,42.2,176.7,82.9,13.1015,24.2102,-3.7685,-3.7797,109.4234,32.9508,-0.03,0
Ba(Ac)2,NA,Ba(CH3COO)2,aq,SK93,NA,1992-09-10,HKF,cal,-312620,-358010,59.7,166.8,88.9,13.9186,26.2066,-4.5556,-3.8623,103.6344,30.9388,-0.03,0
Mn(Ac)3-,NA,Mn(CH3COO)3-,aq,SK93,NA,1992-09-10,HKF,cal,-322580,-408280,31.5,331.9,142.3,21.6217,45.0124,-11.9409,-4.6397,211.3036,64.5717,1.1536,-1
Co(Ac)2,NA,Co(CH3COO)2,aq,SK93,NA,1992-09-10,HKF,cal,-192770,-251460,7.5,186.5,74.2,11.9141,21.312,-2.6321,-3.6599,115.2121,34.9629,-0.03,0
Co(Ac)3-,NA,Co(CH3COO)3-,aq,SK93,NA,1992-09-10,HKF,cal,-281890,-373730,10.4,304.4,132.2,20.3474,41.8989,-10.7127,-4.511,198.142,58.9793,1.4714,-1
Ni(Ac)2,NA,Ni(CH3COO)2,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-190600,-251300,0.7,169.4,68.5,11.1327,19.4031,-1.8801,-3.581,105.1782,31.4753,-0.03,0
Ni(Ac)3-,NA,Ni(CH3COO)3-,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-279700,-374100,1.9,275.5,125.8,19.5212,39.8827,-9.9226,-4.4277,182.3942,53.0847,1.603,-1
Cu(Ac)3-,NA,Cu(CH3COO)3-,aq,SK93,NA,1992-09-10,HKF,cal,-255810,-345320,18.99,320,131.9,20.2654,41.7019,-10.6422,-4.5029,206.07,62.1534,1.3408,-1
Cd(Ac)3-,NA,Cd(CH3COO)3-,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-289000,-376100,31.9,336.3,144.3,21.9033,45.7036,-12.2199,-4.6683,213.8505,65.4786,1.1469,-1
Hg(Ac)3-,NA,Hg(CH3COO)3-,aq,SK93,NA,1992-09-10,HKF,cal,-239020,-321900,51.4,378.6,138.8,21.0462,43.6061,-11.3861,-4.5816,235.9096,74.0939,0.8508,-1
Pb(Ac)3-,NA,Pb(CH3COO)3-,aq,SK93,NA,1993-04-08,HKF,cal,-277750,-348760,88.6,268.1,144.3,21.6128,44.9921,-11.9361,-4.6389,165.9232,51.5732,0.2871,-1
Tl(Ac)2-,NA,Tl(CH3COO)2-,aq,SK93,NA,1992-09-20,HKF,cal,-183600,-230620,70.3,111.7,127.1,19.3516,39.4721,-9.7684,-4.4107,76.8519,19.7269,0.5643,-1
Bi(Ac)3,NA,Bi(CH3COO)3,aq,SK93,NA,1992-09-26,HKF,cal,-245540,-329240,28.6,525.1,131.5,19.7454,40.4309,-10.1406,-4.4503,313.616,103.923,-0.03,0
La(Ac)3,NA,La(CH3COO)3,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-436000,-528000,2.8,222.2,112.5,17.1523,34.102,-7.6583,-4.1887,136.1072,42.2254,-0.03,0
Nd(Ac)3,NA,Nd(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-433560,-524090,9.1,177.7,106.3,16.3006,32.0216,-6.8393,-4.1027,110.0156,33.1567,-0.03,0
Sm(Ac)3,NA,Sm(CH3COO)3,aq,SK93,SLOP16.1,2015-09-00,HKF,cal,-433000,-524000,6,176.9,107.8,16.5088,32.5307,-7.0412,-4.1237,109.5807,33.0056,-0.03,0
Yb(Ac)3,NA,Yb(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-425590,-520890,-9.7,228.1,104.4,16.0356,31.3743,-6.5843,-4.0759,139.5859,43.4346,-0.03,0
Rb(Ac),NA,RbCH3COO,aq,SK93,NA,1992-08-19,HKF,cal,-156110,-174950,53.7,48,65.3,10.6948,18.3352,-1.4623,-3.5369,33.9961,6.7343,-0.03,0
Rb(Ac)2-,NA,Rb(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-244000,-292490,68.3,117,122.2,18.6924,37.8608,-9.1318,-4.3441,80.2139,20.8,0.5941,-1
Cs(Ac),NA,CsCH3COO,aq,SK93,NA,1992-08-19,HKF,cal,-158010,-176320,57.5,40.6,73.3,11.7865,20.9974,-2.502,-3.6469,29.6579,5.2264,-0.03,0
Cs(Ac)2-,NA,Cs(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-245900,-293570,73.2,102.6,131.1,19.8839,40.767,-10.2671,-4.4642,71.0739,17.858,0.5208,-1
Cu(Ac),NA,CuCH3COO,aq,SK93,NA,1992-08-19,HKF,cal,-76770,-99970,28.7,85.5,40.5,7.3009,10.0483,1.7946,-3.1943,56.0175,14.3883,-0.03,0
Cu(Ac)2-,NA,Cu(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-165000,-219740,37,190.3,94.6,15.0715,29.0205,-5.6592,-3.9786,127.5564,35.7339,1.0691,-1
Au(Ac),NA,AuCH3COO,aq,SK93,NA,1992-09-10,HKF,cal,-49870,-68310,48,56.1,61.8,10.213,17.1576,-0.9969,-3.4882,38.7432,8.3843,-0.03,0
Au(Ac)2-,NA,Au(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-138240,-186750,61.3,132.8,118.3,18.1917,36.6392,-8.6534,-4.2936,90.461,24.0193,0.701,-1
NH4(Ac),NA,NH4CH3COO,aq,SK93,NA,1992-09-10,HKF,cal,-107550,-147230,50.7,90.1,69.6,11.2849,19.7719,-2.0187,-3.5963,58.7075,15.3233,-0.03,0
NH4(Ac)2-,NA,NH4(CH3COO)2-,aq,SK93,NA,1992-09-10,HKF,cal,-195640,-265200,64.7,199.3,127,19.3685,39.509,-9.7736,-4.4122,128.9386,37.5581,0.6495,-1
Be(Ac)+,NA,BeCH3COO+,aq,SK93,NA,1993-03-11,HKF,cal,-174020,-213040,-45.6,97.1,21.1,5.0795,4.6238,3.9264,-2.97,74.547,16.741,1.2465,1
Be(Ac)2,NA,Be(CH3COO)2,aq,SK93,NA,1993-03-11,HKF,cal,-263740,-336230,-43.8,215.1,73,11.7442,20.8961,-2.4661,-3.6427,131.9355,40.7754,-0.03,0
Ra(Ac)+,NA,RaCH3COO+,aq,SK93,NA,1993-03-11,HKF,cal,-223900,-239380,48,67.6,37.6,6.8554,8.9566,2.2315,-3.1492,44.1726,10.737,-0.1754,1
Ra(Ac)2,NA,Ra(CH3COO)2,aq,SK93,NA,1993-03-11,HKF,cal,-312940,-353260,78.8,157.6,91.4,14.2584,27.0324,-4.8725,-3.8964,98.2315,29.0609,-0.03,0
Sc(Ac)+2,NA,ScCH3COO+2,aq,SK93,NA,1992-09-10,HKF,cal,-233010,-268100,-42.4,65.7,2.8,2.7175,-1.1437,6.1937,-2.7316,60.3195,10.3398,1.7013,2
Sc(Ac)2+,NA,Sc(CH3COO)2+,aq,SK93,NA,1992-09-10,HKF,cal,-324640,-389320,-27.5,156,52.5,9.2794,14.8737,-0.0899,-3.3938,106.5183,28.737,0.9706,1
Sc(Ac)3,NA,Sc(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-415370,-511840,-20,235.6,108,16.5277,32.5748,-7.0539,-4.1255,143.9346,44.946,-0.03,0
Pr(Ac)+2,NA,PrCH3COO+2,aq,SK93,NA,1992-09-10,HKF,cal,-254570,-287880,-26.8,38,2.5,2.6078,-1.4116,6.2996,-2.7205,41.9424,4.7024,1.4671,2
Pr(Ac)2+,NA,Pr(CH3COO)2+,aq,SK93,NA,1992-09-10,HKF,cal,-345500,-406710,-6.2,102,52.3,9.1362,14.525,0.0441,-3.3794,71.8931,17.7378,0.6472,1
Pr(Ac)3,NA,Pr(CH3COO)3,aq,SK93,NA,1992-09-10,HKF,cal,-435690,-526750,7.8,144.3,107.7,16.4898,32.4806,-7.0127,-4.1216,90.447,26.3552,-0.03,0
