name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Sm+3,Sm(+3),Sm+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-159100,-165200,-50.7,-43.3,-42,-8.4354,-2.0104,14.0474,-2.6959,1.9384,-11.8547,2.2955,3
Sn+2,Sn(+2),Sn+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-6630,-2100,-3.8,-11.2,-15.5,0.5855,-8.9078,8.5235,-2.4107,11.4503,-5.3161,1.286,2
SO2,SO2(0),SO2,aq,SHS89,DEW17.38,2017-09-26,DEW,cal,-71980,-77194,38.7,46.6,38.5,8.8794,4.171,1.3408,-2.9514,31.21,6.4579,-0.2461,0
SO3-2,SO3(-2),SO3-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-116300,-151900,-7,-76.1,5.6,6.8322,-7.1274,3.988,-2.4844,-7.8369,-18.5362,3.321,-2
Sr+2,Sr(+2),Sr+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-134760,-131670,-7.53,-10.05,-17.41,0.0404,-9.0632,8.9193,-2.4043,10.7452,-5.0818,1.1363,2
SrCl+,SrCl(+),SrCl+,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-165800,-169790,11,11.25,11.1,3.8602,-0.6079,5.3478,-2.7539,16.2946,-0.743,0.3837,1
Tb+3,Tb(+3),Tb+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-159500,-166900,-54,-40.5,-40.2,-7.7036,-2.5472,13.5968,-2.6737,4.2521,-11.2843,2.3685,3
Tl+,Tl(+),Tl+,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-7740,1280,30,-4.2,18.2,4.0941,3.2853,4.7634,-2.9148,5.089,-3.8901,0.1502,1
Tl+3,Tl(+3),Tl+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,51300,47000,-46,-39.3,-39.3,-7.3904,-2.777,13.4039,-2.6642,4.7607,-11.04,2.3474,3
Tm+3,Tm(+3),Tm+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-159900,-168500,-58.1,-34.3,-43,-8.679,-1.8318,14.1974,-2.7033,8.4825,-10.0214,2.4333,3
toluene,TOLUENE,C6H5CH3,aq,PS01,DEW17.39,2017-09-26,DEW,cal,30260,3280,44,109,97.5,20.3168,15.0604,-7.7899,-3.4016,67.3756,19.1687,-0.29,0
U+4,U(+4),U+4,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-126650,-141300,-99.6,0.2,-53.3,-15.6514,11.3263,17.6189,-3.2472,40.2194,-2.9938,3.6835,4
UO2+2,UO2(+2),UO2+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-227680,-243550,-23.5,8.95,5.73,5.7347,-7.4402,4.7848,-2.4714,24.4037,-1.2105,1.4099,2
urea,UREA,CH4N2O,aq,PS01,DEW17.40,2017-09-26,DEW,cal,-48720,-76100,42.3,20.99,44.02,10.1,5.37,0.333,-3,30.7,-4.42,0.079,0
VO+2,VO(+2),VO+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-106700,-116300,-32,-12,-29.4,-2.5836,-9.8111,10.8244,-2.3734,13.3909,-5.4789,1.5475,2
VO2+,VO2(+),VO2+,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-140300,-155300,-10.1,31.1,-33.5,-1.378,-17.2198,10.789,-2.0671,30.8449,3.3005,0.7003,1
WO4-2,WO4(-2),WO4-2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-219150,-257100,9.7,-44.5,32.2,13.0416,-5.3576,-0.5204,-2.5575,8.331,-12.0991,3.0657,-2
Xe,Xe(0),Xe,aq,SHS89,DEW17.04,2017-09-26,DEW,cal,3225,-4510,14.62,64.8,42.6,7.5196,10.5793,1.5919,-3.2163,42.1036,10.1652,-0.2214,0
Y+3,Y(+3),Y+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-163800,-170900,-60,-35.7,-40.8,-7.9156,-2.3917,13.7274,-2.6801,7.1634,-10.3067,2.3792,3
Yb+2,Yb(+2),Yb+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-128500,-126800,-11.2,0.7,-10.3,1.7948,-8.5632,7.6454,-2.425,17.895,-2.8919,1.2285,2
Yb+3,Yb(+3),Yb+3,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-153000,-160300,-56.9,-36.4,-44.5,-9.2233,-1.4325,14.5325,-2.7198,7.3531,-10.4492,2.4443,3
Zn+2,Zn(+2),Zn+2,aq,SH88,DEW17.1,2017-09-26,DEW,cal,-35200,-36660,-26.2,-6.3,-24.3,-1.4174,-9.4787,9.9777,-2.3872,15.901,-4.318,1.4574,2
ZnCl+,ZnCl(+),ZnCl+,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-66850,-66240,23,19.9,4.8,2.5497,-1.8555,6.3939,-2.7023,19.6948,1.019,0.2025,1
ZnCl2,ZnCl2(0),ZnCl2,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-98300,-109080,27.03,34.66,26,6.5516,1.9547,3.1991,-2.8598,26.1295,4.0257,-0.038,0
ZnCl3-,ZnCl3(-),ZnCl3-,aq,SSWS97,DEW17.4,2017-09-26,DEW,cal,-129310,-151060,25,41.97,43.9,10.6464,5.8533,-0.0698,-3.021,42.2916,5.5147,1.2513,-1
